,place,dist_to_center,broad_zone,percent_undeveloped_weighted_average,percent_undeveloped_simple_mean,percent_undeveloped_median
0,Austin,1.0,Multifamily,16.83371641298212,74.26006404695126,76.72958077259999
1,Austin,1.0,Other,40.84667246704907,3.9717139906842247,65.839399203
2,Austin,1.0,Single Family,20.68681373737973,73.92739722570776,77.97794075115
3,Austin,2.0,Multifamily,40.36932280500868,51.92410559946047,65.47909206519999
4,Austin,2.0,Other,17.124849534195445,66.59119090867465,80.9901950387
5,Austin,2.0,Single Family,20.669881659608997,77.69927433853908,79.7210303897
6,Austin,3.0,Multifamily,31.036148549101867,50.902501060969584,64.55495064915
7,Austin,3.0,Other,18.356819255759056,65.56175725152174,72.43033373455
8,Austin,3.0,Single Family,17.21106729988742,79.07476674262736,80.9282941088
9,Austin,4.0,Multifamily,30.677803882044387,60.757619639450645,65.9263030922
10,Austin,4.0,Other,16.18142854320573,66.28997773309521,79.1503230758
11,Austin,4.0,Single Family,12.790587170301817,82.01696215352628,83.76101413745
12,Austin,5.0,Multifamily,22.232816458662406,73.88103522160048,75.49825364750001
13,Austin,5.0,Other,13.721901413431278,78.53585237234529,85.19057886275
14,Austin,5.0,Single Family,13.288241348280797,83.1677331041794,84.2365300605
15,Austin,6.0,Multifamily,25.199869048387143,51.74152676155593,73.25554096875
16,Austin,6.0,Other,9.664095522562558,71.60593309774828,76.94529940390001
17,Austin,6.0,Single Family,13.130008325407491,82.38545088199895,82.8791526398
18,Austin,7.0,Multifamily,21.0995277037196,73.21916234961525,68.8955029437
19,Austin,7.0,Other,7.38960985674943,75.64827422534654,83.84155849919999
20,Austin,7.0,Single Family,13.385313091387655,82.14204349745589,82.3340508105
21,Austin,8.0,Multifamily,20.26728669814396,82.65614455951025,83.6421503575
22,Austin,8.0,Other,9.131287486046567,71.4087892495423,74.6867395305
23,Austin,8.0,Single Family,15.451986154905725,78.41510743389362,79.78171109495
24,Austin,9.0,Multifamily,14.433005560182464,49.344675555778295,75.2048679067
25,Austin,9.0,Other,6.421722603104654,80.97027994039624,81.4862453275
26,Austin,9.0,Single Family,16.383693803266535,75.92767104575415,76.39329062110001
27,Austin,10.0,Multifamily,14.45024591622377,74.68075968023837,72.6974454748
28,Austin,10.0,Other,6.435326734176483,76.07898807350338,75.498886379
29,Austin,10.0,Single Family,16.19197693697641,76.02187747761765,76.4993904651
30,Austin,11.0,Multifamily,27.432168065615066,71.63649339219411,70.9104935719
31,Austin,11.0,Other,3.472008066067509,81.64538212823766,82.26129342985
32,Austin,11.0,Single Family,15.974767678499468,76.54374859826088,77.35827334425
33,Austin,12.0,Multifamily,24.51064086006322,68.57975451740641,68.286446303
34,Austin,12.0,Other,4.185794228152988,83.89780773011776,90.789515755495
35,Austin,12.0,Single Family,14.955513559391836,78.74191560772084,79.10115589725
36,Austin,13.0,Multifamily,22.207697430484735,71.3310400473901,70.50950330004999
37,Austin,13.0,Other,3.19442254490634,79.03306889109658,82.394310606
38,Austin,13.0,Single Family,16.935558436367483,75.8837810449979,76.58704363710001
39,Austin,14.0,Multifamily,13.385137528582842,68.57786918796188,66.72676727470001
40,Austin,14.0,Other,1.4089605913375942,94.18464924885713,97.019504964685
41,Austin,14.0,Single Family,10.285222806273968,81.34985640947198,81.53443471790001
42,Austin,15.0,Other,3.49013350958332,94.97144886523746,98.66261083786
43,Austin,15.0,Single Family,7.564018945066084,91.39019393474062,91.80275905961
44,Dallas,1.0,Multifamily,9.760317082600757,-32.45443451566159,-39.513047857961304
45,Dallas,1.0,Other,0.0,100.0,100.0
46,Dallas,1.0,Single Family,29.363762000010308,64.49080015540478,70.29749899335981
47,Dallas,2.0,Multifamily,9.76153306310679,-12.04408556208803,-21.590955474636473
48,Dallas,2.0,Other,0.0023458791419858353,99.95844590305937,100.0
49,Dallas,2.0,Single Family,24.053149077008605,69.4342182348776,76.2263507090126
50,Dallas,3.0,Multifamily,17.08707409455485,29.50547261860183,35.856793171477996
51,Dallas,3.0,Other,0.005607448628553753,99.96264845407379,100.0
52,Dallas,3.0,Single Family,19.196329152766918,79.12481280984609,81.34356782038677
53,Dallas,4.0,Multifamily,13.464780990112768,51.1989883031393,63.78160668084901
54,Dallas,4.0,Other,0.0006448241677913683,99.99176762452444,100.0
55,Dallas,4.0,Single Family,20.5122209171904,78.07277361367171,80.750877114004
56,Dallas,5.0,Multifamily,6.8360545270826965,59.61283946168715,73.04141294556052
57,Dallas,5.0,Other,0.00047376395831743255,99.98938760256372,100.0
58,Dallas,5.0,Single Family,17.66857875854458,81.2911333863099,83.72947171249116
59,Dallas,6.0,Multifamily,5.651503798169989,73.70744099519887,79.32915490018881
60,Dallas,6.0,Other,0.004330047964352601,99.96267375058548,100.0
61,Dallas,6.0,Single Family,16.493096262092156,82.0241082062113,84.15924740362675
62,Dallas,7.0,Multifamily,4.375321730072564,57.119549654931944,67.74819318978626
63,Dallas,7.0,Other,5.0459536326567866e-05,99.99995015450777,100.0
64,Dallas,7.0,Single Family,15.854967742022378,81.87509031731399,83.60616456770572
65,Dallas,8.0,Multifamily,3.6677321297698393,65.64110305565826,65.34087663800459
66,Dallas,8.0,Other,0.0006404568820267248,99.96607960519466,100.0
67,Dallas,8.0,Single Family,16.10805304839323,81.5253984078663,83.64998072648433
68,Dallas,9.0,Multifamily,6.243273279064518,60.793844102211416,64.00284603379988
69,Dallas,9.0,Other,0.0013448640227148169,99.93793966694109,100.0
70,Dallas,9.0,Single Family,16.80610188036351,80.45304568161984,82.62059285508012
71,Dallas,10.0,Multifamily,5.021060325745205,50.444825758628355,52.051836290756405
72,Dallas,10.0,Other,0.00013925260071392576,99.99476158470846,100.0
73,Dallas,10.0,Single Family,17.118314630366182,78.38999040501615,80.75408413034134
74,Dallas,11.0,Multifamily,6.450036435319194,54.41211550960592,57.85811096229653
75,Dallas,11.0,Other,0.0006743398964469974,99.99415125105847,100.0
76,Dallas,11.0,Single Family,16.110020820505184,79.58112849765847,80.12609841335919
77,Dallas,12.0,Multifamily,3.187935112717439,64.67510397279948,65.97323718186803
78,Dallas,12.0,Other,0.0005508560180986037,99.9977017543974,100.0
79,Dallas,12.0,Single Family,16.174814215417776,77.04463921039282,77.86155301760337
80,Dallas,13.0,Multifamily,6.105833074326682,26.524096101992118,20.323265607219763
81,Dallas,13.0,Other,0.000991124819619026,99.90693248981059,100.0
82,Dallas,13.0,Single Family,16.09664326166304,76.94897230619348,77.15872643989191
83,Dallas,14.0,Multifamily,13.716267327657693,53.81536714417698,54.692218053021726
84,Dallas,14.0,Other,0.003411024285372649,99.98781939829833,100.0
85,Dallas,14.0,Single Family,20.60290057341442,72.24053835474092,73.84713968048243
86,Dallas,15.0,Multifamily,9.849604728996127,-2.795307502659338,11.79977760450982
87,Dallas,15.0,Other,0.008119862504558904,99.78123424192515,100.0
88,Dallas,15.0,Single Family,22.58583948875358,69.2239170940696,72.29135212711775
89,Dallas,16.0,Multifamily,0.0,,
90,Dallas,16.0,Other,0.0,100.0,100.0
91,Dallas,16.0,Single Family,8.827776460212524,91.17222353978748,91.17222353978748
92,Dallas,17.0,Other,0.0,,
93,Dallas,20.0,Single Family,10.320700886339557,88.51083072413695,91.47273987643504
94,Dallas,21.0,Other,0.0,,
95,Dallas,21.0,Single Family,26.591252824106853,72.40122963862558,72.40122963862558
96,Houston,1.0,Multifamily,3.913525858848569,60.09967640415782,64.89002999973243
97,Houston,1.0,Other,0.22628491664285103,55.561275453424194,73.75196123527613
98,Houston,1.0,Single Family,62.8146945054751,3.40905273101392,-3.236263926147287
99,Houston,2.0,Multifamily,9.326488307101782,61.784966952969434,64.08402727979453
100,Houston,2.0,Other,0.29093870738286537,16.781016008394108,53.119660120660384
101,Houston,2.0,Single Family,48.29938436816171,17.645079323120935,14.251059929909138
102,Houston,3.0,Multifamily,15.499789154595723,63.55541526872419,64.22402084457654
103,Houston,3.0,Other,0.2936303180097173,35.5968431742101,69.78042956046822
104,Houston,3.0,Single Family,37.01507378968211,40.18908842901119,65.10378704165254
105,Houston,4.0,Multifamily,7.61384409485982,69.26337108335981,72.79131881945717
106,Houston,4.0,Other,0.214595233949049,1.4987202447863204,-28.00786828434829
107,Houston,4.0,Single Family,29.145210035563785,52.63706931819322,72.90363325823346
108,Houston,5.0,Multifamily,4.2803216740907315,71.02798333273311,73.25567757349631
109,Houston,5.0,Other,0.12278450993874615,30.97777300910774,65.39279960818315
110,Houston,5.0,Single Family,23.19859250366108,64.11170041838652,78.43846300228503
111,Houston,6.0,Multifamily,2.0898022896256254,69.83074215012826,74.1813227351944
112,Houston,6.0,Other,0.0975991224512527,38.28678144512801,66.99074302983148
113,Houston,6.0,Single Family,20.802519785986327,70.34948362518575,80.08432084820731
114,Houston,7.0,Multifamily,2.833805001395856,67.55341863609664,73.054764804993
115,Houston,7.0,Other,0.07186998181430602,60.28753766369898,90.65113425103952
116,Houston,7.0,Single Family,20.067274131010723,70.51496134120517,80.77358415792628
117,Houston,8.0,Multifamily,1.6289280672207695,72.28003239542312,76.36401191899662
118,Houston,8.0,Other,0.06761994009838149,51.74264725040511,82.59102950420059
119,Houston,8.0,Single Family,18.244791774902534,72.01008222851182,81.31046966880504
120,Houston,9.0,Multifamily,1.0618022911783298,76.66357533115577,78.93512091790616
121,Houston,9.0,Other,0.06452475691987242,40.73066785290146,72.74656709892749
122,Houston,9.0,Single Family,18.257474253735822,76.76453618745201,80.28941797993959
123,Houston,10.0,Multifamily,0.6980870293437484,76.88281715646178,78.94048638872427
124,Houston,10.0,Other,0.062170562913100406,58.94486396057527,59.155902267754456
125,Houston,10.0,Single Family,19.671140025264773,73.215819923861,78.98197484548044
126,Houston,11.0,Multifamily,0.9322522472006453,70.52716787147786,70.4331811133405
127,Houston,11.0,Other,0.0665081718341159,54.64588376815188,48.92079441354284
128,Houston,11.0,Single Family,19.144770307974884,70.68377350498204,77.35930661172195
129,Houston,12.0,Multifamily,0.7519901266055493,72.18303121696559,70.3265663291338
130,Houston,12.0,Other,0.07420392122943126,43.49666868222754,50.91843185231883
131,Houston,12.0,Single Family,21.295161651651725,68.32629655278686,77.07649956710728
132,Houston,13.0,Multifamily,0.636889584995342,40.04166074557447,36.744765197643176
133,Houston,13.0,Other,0.05684521795333718,21.983980616463388,2.62623208314115
134,Houston,13.0,Single Family,26.768263849765265,65.52801259124861,71.341327102007
135,Houston,14.0,Multifamily,0.1403297960778736,64.86979885066172,64.21770962000106
136,Houston,14.0,Other,0.07947944504604287,8.121876318991518,-0.9330157016062879
137,Houston,14.0,Single Family,24.217504063044007,64.55670488470953,74.50350158452505
138,Houston,15.0,Multifamily,1.2912304583707348,41.39069950073438,67.47999844428178
139,Houston,15.0,Other,0.06493772138700564,-2.390994771325362,6.2860855596398535
140,Houston,15.0,Single Family,28.558705961562737,61.42955950736646,68.73406107282631
141,Houston,16.0,Multifamily,0.9895273957746139,64.22330082732707,61.7333349228282
142,Houston,16.0,Other,0.037397285517066,28.49161810579578,32.30242870754372
143,Houston,16.0,Single Family,29.97132804435215,63.73874748871706,68.80384575128544
144,Houston,17.0,Multifamily,0.0,,
145,Houston,17.0,Other,0.006714023140731961,60.644653726671095,57.72981283485343
146,Houston,17.0,Single Family,32.984309301426016,61.713224001862635,65.13683907408078
147,Houston,18.0,Multifamily,0.007941051875424363,89.1417135033372,89.1417135033372
148,Houston,18.0,Other,0.05219592135116147,64.34169994510577,61.4697061000713
149,Houston,18.0,Single Family,29.66989596433694,64.63730474214891,67.31977605775495
150,Houston,19.0,Multifamily,0.0,,
151,Houston,19.0,Other,0.04497808560677019,60.2914121835582,63.24263557425489
152,Houston,19.0,Single Family,29.167731462611663,69.55500605127041,70.51771833295774
153,Houston,20.0,Multifamily,0.0,,
154,Houston,20.0,Other,0.03596147032736846,70.56853709734654,66.87201575227523
155,Houston,20.0,Single Family,23.471681670700637,72.12860279721957,75.49124565532851
156,Houston,21.0,Multifamily,1.045976745040519,69.98754562661453,69.7563220763068
157,Houston,21.0,Other,0.0828660769452587,11.442928477983452,38.84939823541295
158,Houston,21.0,Single Family,15.849359944041344,71.60147472247085,77.11776414822904
159,Houston,22.0,Multifamily,0.0,,
160,Houston,22.0,Other,0.008360941128980375,79.90730475570732,86.17344428459761
161,Houston,22.0,Single Family,18.6365784233239,73.19963183257316,75.50879286310686
162,Houston,23.0,Multifamily,0.22906668705631245,28.146116727226328,25.36713910075289
163,Houston,23.0,Other,0.01628157724840684,57.291390041799225,69.84620405623293
164,Houston,23.0,Single Family,19.819201096076107,71.58026528557116,75.70920645461985
165,Houston,24.0,Multifamily,0.1801148594842506,69.41178434284032,70.06889313457314
166,Houston,24.0,Other,0.003102085804603643,95.25872155908493,98.97626070751008
167,Houston,24.0,Single Family,22.646625577513273,75.24065470841089,75.27689033672557
168,Houston,25.0,Multifamily,0.13491855731569205,64.85399555163117,64.85399555163117
169,Houston,25.0,Other,0.019644144651446448,62.180419639763706,58.11176346250417
170,Houston,25.0,Single Family,26.898848016324102,70.12171860562292,69.73679392167298
171,Houston,26.0,Multifamily,0.06920493767325257,85.4328219407146,85.4328219407146
172,Houston,26.0,Other,0.09609852750299376,64.00708676366831,63.65567024207165
173,Houston,26.0,Single Family,12.087348426677684,75.42832783969489,71.24547153622096
174,Houston,27.0,Multifamily,0.0,,
175,Houston,27.0,Other,0.0058204548273391365,88.36474181297005,88.36474181297005
176,Houston,27.0,Single Family,1.4200878322507564,91.60386846549909,92.48940299053828
177,Houston,28.0,Multifamily,0.0,,
178,Houston,28.0,Other,0.0,,
179,Houston,28.0,Single Family,30.63705677345836,69.36294322654165,69.36294322654165
180,Houston,29.0,Other,0.0,,
181,Houston,29.0,Single Family,26.709617136219627,73.29491192891554,72.76690066494254
182,Houston,38.0,Other,0.0,,
183,Houston,40.0,Other,0.0,,
184,Houston,40.0,Single Family,0.039318801152610945,99.59309751643481,99.59309751643481
